﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Andrew Jones,Harrogate and Knaresborough CC,,19517.22,,,,101824.85,,,,0,,,,0,,121342.07,,,3291.89,,uncapped,9208.18,uncapped,455.57,12955.64,134297.71,3996
Andrew Lansley,South Cambridgeshire CC,,15884.65,,,,85052.91,,,,0,,,,0,,100937.56,,,4144.25,,uncapped,4486.01,uncapped,0,8630.26,109567.82,123
Andrew Miller,Ellesmere Port and Neston CC,,12672.61,,,,105486.71,,,,0,,,,0,,118159.32,,,8332.93,,uncapped,9693.97,uncapped,0,18026.9,136186.22,428
Andrew Mitchell,Sutton Coldfield BC,,17567.69,,,,118051,,,,0,,,,0,,135618.69,,,11793.29,,uncapped,4697.5,uncapped,0,16490.79,152109.48,1211
Andrew Murrison,South West Wiltshire CC,,18392.3,,,,61040.04,,,,0,,,,0,,79432.34,,,7957.2,,uncapped,3972.35,uncapped,395,12324.55,91756.89,1466
Andrew Percy,Brigg and Goole CC,,15796.64,,,,106489.38,,,,0,,,,0,,122286.02,,,13584.4,,uncapped,4482.1,uncapped,0,18066.5,140352.52,3939
Andrew Robathan,South Leicestershire CC,,1817.26,,,,79288.07,,,,0,,,,0,,81105.33,,,6178.91,,uncapped,4631.6,uncapped,0,10810.51,91915.84,334
Andrew Rosindell,Romford BC,,24388.21,,,,120990.88,,,,0,,,,0,,145379.09,,,0,,uncapped,2396,uncapped,0,2396,147775.09,1447
Andrew Selous,South West Bedfordshire CC,,17454.88,,,,100854.07,,,,0,,,,0,,118308.95,,,0,,uncapped,682.1,uncapped,368.46,1050.56,119359.51,1453
Andrew Smith,Oxford East BC,,16705.83,,,,114601.42,,,,0,,,,0,,131307.25,,,5903.56,,uncapped,2358.95,uncapped,478.1,8740.61,140047.86,95
Andrew Stephenson,Pendle BC,,13566.2,,,,110333.57,,,,0,,,,0,,123899.77,,,8981.7,,uncapped,4593,uncapped,0,13574.7,137474.47,4044
Andrew Stunell,Hazel Grove CC,,12694.24,,,,115027.29,,,,0,,,,0,,127721.53,,,0,,uncapped,2294.1,uncapped,0,2294.1,130015.63,445
Andrew Turner,Isle of Wight CC,,22275.06,,,,117162.69,,,,0,,,,0,,139437.75,,,21793.02,,uncapped,6312.54,uncapped,0,28105.56,167543.31,1426
Andrew Tyrie,Chichester CC,,8623.23,,,,114952.93,,,,0,,,,0,,123576.16,,,19900,,uncapped,2382.35,uncapped,0,22282.35,145858.51,112
Andy Burnham,Leigh CC,,13713.32,,,,112909.03,,,,0,,,,0,,126622.35,,,14929.27,,uncapped,6316.72,uncapped,0,21245.99,147868.34,1427
Andy Love,Edmonton BC,,21311.12,,,,124358.64,,,,0,,,,0,,145669.76,,,0,,uncapped,1255.03,uncapped,0,1255.03,146924.79,164
Andy Slaughter,Hammersmith BC,,23751.74,,,,142600.08,,,,0,,,,0,,166351.82,,,0,,uncapped,2144.5,uncapped,0,2144.5,168496.32,1516
Angela Eagle,Wallasey BC,,16072.94,,,,114806.27,,,,0,,,,0,,130879.21,,,4159.01,,uncapped,5883.45,uncapped,0,10042.46,140921.67,491
Angela Smith,Penistone and Stocksbridge CC,,17830.43,,,,109026.19,,,,0,,,,0,,126856.62,,,19800.2,,uncapped,6491.25,uncapped,0,26291.45,153148.07,1564
Angela Watkinson,Hornchurch and Upminster BC,,16254.3,,,,107720.88,,,,0,,,,0,,123975.18,,,0,,uncapped,1315.65,uncapped,0,1315.65,125290.83,1462
Angie Bray,Ealing Central and Acton BC,,11473.53,,,,117706.84,,,,0,,,,0,,129180.37,,,0,,uncapped,0,uncapped,0,0,129180.37,3979
Angus MacNeil,Na h-Eileanan an Iar CC,,14585.33,,,,112773.62,,,,0,,,,0,,127358.95,,,14764.61,,uncapped,36605.82,uncapped,418.8,51789.23,179148.18,1546
Angus Robertson,Moray CC,,12136.65,,,,97419.95,,,,0,,,,0,,109556.6,,,18121.52,,uncapped,19944.13,uncapped,0,38065.65,147622.25,1433
Ann Clwyd,Cynon Valley CC,,23130.05,,,,86562.42,,,,0,,,,0,,109692.47,,,5537.43,,uncapped,5964.95,uncapped,950,12452.38,122144.85,553
Ann Coffey,Stockport BC,,19484.81,,,,93720.73,,,,0,,,,0,,113205.54,,,4927.47,,uncapped,5371.75,uncapped,0,10299.22,123504.76,458
Ann McKechin,Glasgow North BC,,23240.82,,,,118352.39,,,,0,,,,0,,141593.21,,,3055.77,,uncapped,15895.38,uncapped,0,18951.15,160544.36,1419
Anna Soubry,Broxtowe CC,,17687.51,,,,99054.52,,,,0,,,,0,,116742.03,,,16891.9,,uncapped,5970.45,uncapped,0,22862.35,139604.38,3938
Anne Begg,Aberdeen South BC,,17445.67,,,,101801.87,,,,0,,,,0,,119247.54,,,19900,,uncapped,18045.21,uncapped,0,37945.21,157192.75,572
Anne Main,St Albans CC,,14025.23,,,,107454.31,,,,0,,,,0,,121479.54,,,0,,uncapped,240,uncapped,0,240,121719.54,1568
Anne McGuire,Stirling CC,,22887.67,,,,114580.7,,,,0,,,,0,,137468.37,,,13351.61,,uncapped,16468.62,uncapped,0,29820.23,167288.6,636
Anne McIntosh,Thirsk and Malton CC,,9465.13,,,,102251.56,,,,0,,,,0,,111716.69,,,10000.27,,uncapped,9997.65,uncapped,0,19997.92,131714.61,384
Anne Milton,Guildford CC,,7232.66,,,,106920.58,,,,0,,,,0,,114153.24,,,0,,uncapped,745.84,uncapped,0,745.84,114899.08,1523
Anne Morris,Newton Abbot CC,,19553.96,,,,115219.5,,,,0,,,,0,,134773.46,,,19889.55,,uncapped,7168.9,uncapped,0,27058.45,161831.91,4249
Annette Brooke,Mid Dorset and North Poole CC,,8215.24,,,,97753.81,,,,0,,,,0,,105969.05,,,15231.29,,uncapped,2394.43,uncapped,0,17625.72,123594.77,1431
Austin Mitchell,Great Grimsby BC,,18785.64,,,,118672.51,,,,0,,,,0,,137458.15,,,9608.76,,uncapped,7266.65,uncapped,5890,22765.41,160223.56,372
Barbara Keeley,Worsley and Eccles South CC,,23168.11,,,,100929.26,,,,0,,,,0,,124097.37,,,0,,uncapped,6931.99,uncapped,0,6931.99,131029.36,1588
Barry Gardiner,Brent North BC,,23657.79,,,,151013.46,,,,0,,,,0,,174671.25,,,0,,uncapped,2731.7,uncapped,0,2731.7,177402.95,146
Barry Sheerman,Huddersfield BC,,17289.12,,,,104473.34,,,,0,,,,0,,121762.46,,,9472,,uncapped,7151.9,uncapped,708.83,17332.73,139095.19,411
Ben Bradshaw,Exeter BC,,28160.29,,,,87166.25,,,,0,,,,0,,115326.54,,,8588.35,,uncapped,4546.8,uncapped,0,13135.15,128461.69,230
Ben Gummer,Ipswich BC,,20287.06,,,,98242.02,,,,0,,,,0,,118529.08,,,13648,,uncapped,7430.73,uncapped,0,21078.73,139607.81,3988
Ben Wallace,Wyre and Preston North CC,,12243.48,,,,112289.46,,,,0,,,,0,,124532.94,,,23233.07,,uncapped,17227.07,uncapped,0,40460.14,164993.08,1539
Bernard Jenkin,Harwich and North Essex CC,,9941.7,,,,105437.96,,,,0,,,,0,,115379.66,,,9810.62,,uncapped,2746.35,uncapped,0,12556.97,127936.63,40
Bill Cash,Stone CC,,18616.81,,,,112469.88,,,,0,,,,0,,131086.69,,,18494.86,,uncapped,9451.09,uncapped,0,27945.95,159032.64,288
Bill Esterson,Sefton Central CC,,21777.96,,,,123208.88,,,,0,,,,0,,144986.84,,,16117.2,,uncapped,13749.02,uncapped,0,29866.22,174853.06,4061
Bill Wiggin,North Herefordshire CC,,17350.44,,,,107778.76,,,,0,,,,0,,125129.2,,,2243.2,,uncapped,6604.45,uncapped,290.64,9138.29,134267.49,1428
Bob Ainsworth,Coventry North East BC,,9005.75,,,,101825.63,,,,0,,,,0,,110831.38,,,18995.71,,uncapped,5429.05,uncapped,0,24424.76,135256.14,306
Bob Blackman,Harrow East BC,,22812.53,,,,115580.01,,,,0,,,,0,,138392.54,,,0,,uncapped,4467.9,uncapped,0,4467.9,142860.44,4005
Bob Neill,Bromley and Chislehurst BC,,15370.33,,,,103168.45,,,,0,,,,0,,118538.78,,,0,,uncapped,306,uncapped,0,306,118844.78,1601
Bob Russell,Colchester BC,,21340.35,,,,121855.73,,,,0,,,,0,,143196.08,,,0,,uncapped,3212.75,uncapped,0,3212.75,146408.83,35
Bob Stewart,Beckenham BC,,9140.71,,,,116312.48,,,,0,,,,0,,125453.19,,,0,,uncapped,0,uncapped,239.18,239.18,125692.37,3919
Brandon Lewis,Great Yarmouth CC,,19774.75,,,,112196.79,,,,0,,,,0,,131971.54,,,21452.95,,uncapped,5680.82,uncapped,0,27133.77,159105.31,4009
Brian Binley,Northampton South BC,,12987.27,,,,107865.9,,,,0,,,,0,,120853.17,,,15537.12,,uncapped,4846.29,uncapped,0,20383.41,141236.58,1550
Brian Donohoe,Central Ayrshire CC,,18307.21,,,,119824.82,,,,0,,,,0,,138132.03,,,17008.24,,uncapped,25907.6,uncapped,0,42915.84,181047.87,586
