﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
David Heath,Somerton and Frome CC,,21820.21,,,,107228.68,,,,0,,,,0,,129048.89,,,19739.41,,uncapped,6538.65,uncapped,0,26278.06,155326.95,255
David Heyes,Ashton-under-Lyne BC,,16570.12,,,,108157.92,,,,0,,,,0,,124728.04,,,18724.43,,uncapped,7186.85,uncapped,0,25911.28,150639.32,1386
David Jones,Clwyd West CC,,13460.96,,,,111210.51,,,,0,,,,0,,124671.47,,,10293.08,,uncapped,8555.2,uncapped,0,18848.28,143519.75,1502
David Lammy,Tottenham BC,,17554.85,,,,144581.2,,,,0,,,,0,,162136.05,,,0,,uncapped,1707.45,uncapped,0,1707.45,163843.5,206
David Laws,Yeovil CC,,18594.57,,,,113246.43,,,,0,,,,0,,131841,,,0,,uncapped,5967.55,uncapped,0,5967.55,137808.55,1473
David Lidington,Aylesbury CC,,6733.66,,,,95091.77,,,,0,,,,0,,101825.43,,,8289,,uncapped,1309.7,uncapped,94.7,9693.4,111518.83,15
David Miliband,South Shields BC,,15012.52,,,,143288.04,,,,0,,,,0,,158300.56,,,7483.72,,uncapped,5459.54,uncapped,268.3,13211.56,171512.12,1452
David Morris,Morecambe and Lunesdale CC,,25270.44,,,,107801.33,,,,0,,,,0,,133071.77,,,24060.21,,uncapped,17944.22,uncapped,0,42004.43,175076.2,4135
David Mowat,Warrington South BC,,14930.3,,,,112939.29,,,,0,,,,0,,127869.59,,,0,,uncapped,11772.7,uncapped,0,11772.7,139642.29,4080
David Mundell,"Dumfriesshire, Clydesdale and Tweeddale CC",,18822.4,,,,111998.05,,,,0,,,,0,,130820.45,,,21152.11,,uncapped,22168.31,uncapped,0,43320.42,174140.87,1512
David Nuttall,Bury North BC,,11072.8,,,,62290.45,,,,0,,,,0,,73363.25,,,20608.13,,uncapped,2988.9,uncapped,0,23597.03,96960.28,4140
David Ruffley,Bury St Edmunds CC,,8729.58,,,,111718.08,,,,0,,,,0,,120447.66,,,6071.06,,uncapped,4528.8,uncapped,0,10599.86,131047.52,133
David Rutley,Macclesfield CC,,12286.93,,,,110592.16,,,,0,,,,0,,122879.09,,,18698.92,,uncapped,8034.9,uncapped,0,26733.82,149612.91,4033
David Simpson,Upper Bann,,19357.86,,,,90368.91,,,,0,,,,0,,109726.77,,,17569.86,,uncapped,22690.42,uncapped,0,40260.28,149987.05,1597
David Tredinnick,Bosworth CC,,15474.2,,,,117479.44,,,,0,,,,0,,132953.64,,,18981.32,,uncapped,2275.45,uncapped,0,21256.77,154210.41,335
David Ward,Bradford East BC,,16458.69,,,,110142.79,,,,0,,,,0,,126601.48,,,7600,,uncapped,8184.85,uncapped,0,15784.85,142386.33,3923
David Willetts,Havant BC,,16037.41,,,,99014.42,,,,0,,,,0,,115051.83,,,9532.9,,uncapped,2141.9,uncapped,0,11674.8,126726.63,53
David Winnick,Walsall North BC,,7531.3,,,,57603.04,,,,0,,,,0,,65134.34,,,8982.14,,uncapped,1416.75,uncapped,0,10398.89,75533.23,316
David Wright,Telford BC,,10323.9,,,,92466.12,,,,0,,,,0,,102790.02,,,16258.45,,uncapped,7415.68,uncapped,0,23674.13,126464.15,1461
Dawn Primarolo,Bristol South BC,,19781.85,,,,114160.77,,,,0,,,,0,,133942.62,,,19112.6,,uncapped,4218.9,uncapped,1423.1,24754.6,158697.22,217
Debbie Abrahams,Oldham East and Saddleworth CC,,24877.27,,,,114430.55,,,,0,,,,0,,139307.82,,,20040.91,,uncapped,8157.5,uncapped,0,28198.41,167506.23,4212
Denis MacShane,Rotherham BC,,9633.6,,,,90047.08,,,,0,,,,0,,99680.68,,,19883.03,,uncapped,7387.65,uncapped,0,27270.68,126951.36,393
Dennis Skinner,Bolsover CC,,799.99,,,,47893.84,,,,0,,,,0,,48693.83,,,5199.67,,uncapped,4838.55,uncapped,0,10038.22,58732.05,325
Derek Twigg,Halton CC,,12023.43,,,,92428.46,,,,0,,,,0,,104451.89,,,19401.25,,uncapped,5824.1,uncapped,0,25225.35,129677.24,429
Desmond Swayne,New Forest West CC,,2389.62,,,,79404.36,,,,0,,,,0,,81793.98,,,2713.53,,uncapped,2202.1,uncapped,133.5,5049.13,86843.11,55
Diana Johnson,Kingston upon Hull North BC,,21247.32,,,,120683.34,,,,0,,,,0,,141930.66,,,4368.1,,uncapped,8629.65,uncapped,0,12997.75,154928.41,1533
Diane Abbott,Hackney North and Stoke Newington BC,,12673.19,,,,106434.8,,,,0,,,,0,,119107.99,,,0,,uncapped,0,uncapped,0,0,119107.99,172
Dominic Grieve,Beaconsfield CC,,18405.29,,,,114140.54,,,,0,,,,0,,132545.83,,,0,,uncapped,516.06,uncapped,572.55,1088.61,133634.44,16
Dominic Raab,Esher and Walton BC,,9217,,,,105647.6,,,,0,,,,0,,114864.6,,,0,,uncapped,273,uncapped,0,273,115137.6,4007
Don Foster,Bath BC,,19632.47,,,,111020.19,,,,0,,,,0,,130652.66,,,19264.17,,uncapped,4388.6,uncapped,0,23652.77,154305.43,214
Douglas Alexander,Paisley and Renfrewshire South CC,,17115.04,,,,88412.46,,,,0,,,,0,,105527.5,,,0,,uncapped,19045.74,uncapped,0,19045.74,124573.24,632
Douglas Carswell,Clacton CC,,19555.29,,,,111183.7,,,,0,,,,0,,130738.99,,,14685.79,,uncapped,5907.4,uncapped,42,20635.19,151374.18,1527
Duncan Hames,Chippenham CC,,19642.11,,,,113967.17,,,,0,,,,0,,133609.28,,,13151.11,,uncapped,2046.65,uncapped,0,15197.76,148807.04,3951
Ed Balls,Morley and Outwood CC,,20444.94,,,,115453.47,,,,0,,,,0,,135898.41,,,0,,uncapped,12406.77,uncapped,300.61,12707.38,148605.79,1549
Edward Davey,Kingston and Surbiton BC,,23791.09,,,,112952.28,,,,0,,,,0,,136743.37,,,0,,uncapped,0,uncapped,0,0,136743.37,188
Edward Garnier,Harborough CC,,6884.5,,,,99439.83,,,,0,,,,0,,106324.33,,,10865.5,,uncapped,7015.69,uncapped,0,17881.19,124205.52,337
Edward Leigh,Gainsborough CC,,8121.4,,,,111228.59,,,,0,,,,0,,119349.99,,,6552.92,,uncapped,8393.37,uncapped,0,14946.29,134296.28,345
Edward Miliband,Doncaster North CC,,14827.91,,,,93747.42,,,,0,,,,0,,108575.33,,,8119.86,,uncapped,849.75,uncapped,0,8969.61,117544.94,1510
Edward Timpson,Crewe and Nantwich CC,,17926.59,,,,109404.85,,,,0,,,,0,,127331.44,,,0,,uncapped,9818.23,uncapped,0,9818.23,137149.67,1605
Edward Vaizey,Wantage CC,,3667.99,,,,102246.96,,,,0,,,,0,,105914.95,,,10997.71,,uncapped,2932.51,uncapped,0,13930.22,119845.17,1580
Eilidh Whiteford,Banff and Buchan CC,,13934.45,,,,96724.69,,,,0,,,,0,,110659.14,,,20301.25,,uncapped,18275.95,uncapped,135,38712.2,149371.34,3911
Eleanor Laing,Epping Forest CC,,23699.9,,,,122314.59,,,,0,,,,0,,146014.49,,,0,,uncapped,72,uncapped,645.7,717.7,146732.19,36
Elfyn Llwyd,Dwyfor Meirionnydd CC,,15649.34,,,,102454.24,,,,0,,,,0,,118103.58,,,17748.13,,uncapped,11444,uncapped,0,29192.13,147295.71,549
Elizabeth Truss,South West Norfolk CC,,7386.84,,,,110548.01,,,,0,,,,0,,117934.85,,,4684.06,,uncapped,10297.33,uncapped,0,14981.39,132916.24,4097
Emily Thornberry,Islington South and Finsbury BC,,28361.92,,,,130624.76,,,,0,,,,0,,158986.68,,,0,,uncapped,0,uncapped,0,0,158986.68,1536
Emma Reynolds,Wolverhampton North East BC,,17633.8,,,,114707.94,,,,0,,,,0,,132341.74,,,19900,,uncapped,3070.5,uncapped,0,22970.5,155312.24,4077
Eric Joyce,Falkirk CC,,22931.48,,,,111690.98,,,,0,,,,0,,134622.46,,,14748.54,,uncapped,47544.43,uncapped,0,62292.97,196915.43,603
Eric Ollerenshaw,Lancaster and Fleetwood CC,,12548.32,,,,109332.79,,,,0,,,,0,,121881.11,,,0,,uncapped,6011.4,uncapped,0,6011.4,127892.51,4141
Eric Pickles,Brentwood and Ongar CC,,9428.02,,,,111192.48,,,,0,,,,0,,120620.5,,,0,,uncapped,0,uncapped,0,0,120620.5,33
Esther McVey,Wirral West CC,,17891.08,,,,102378.42,,,,0,,,,0,,120269.5,,,18140,,uncapped,7890.18,uncapped,0,26030.18,146299.68,4084
Fabian Hamilton,Leeds North East BC,,24796.49,,,,120728.99,,,,0,,,,0,,145525.48,,,0,,uncapped,6693.51,uncapped,0,6693.51,152218.99,415
Fiona Bruce,Congleton CC,,18508.48,,,,103063.66,,,,0,,,,0,,121572.14,,,3002.87,,uncapped,9743.1,uncapped,0,12745.97,134318.11,3958
Fiona Mactaggart,Slough BC,,23291.47,,,,128365.09,,,,0,,,,0,,151656.56,,,0,,uncapped,835.35,uncapped,1661.32,2496.67,154153.23,12
Fiona O'Donnell,East Lothian CC,,14266.39,,,,105150.83,,,,0,,,,0,,119417.22,,,20283.85,,uncapped,16382.57,uncapped,0,36666.42,156083.64,3964
Francis Maude,Horsham CC,,13603.33,,,,127495.11,,,,0,,,,0,,141098.44,,,9148.66,,uncapped,2220.49,uncapped,0,11369.15,152467.59,115
Frank Dobson,Holborn and St Pancras BC,,2680.39,,,,126861,,,,0,,,,0,,129541.39,,,0,,uncapped,0,uncapped,0,0,129541.39,180
Frank Doran,Aberdeen North BC,,19835.85,,,,113645.2,,,,0,,,,0,,133481.05,,,14089.29,,uncapped,24944.92,uncapped,0,39034.21,172515.26,570
Frank Field,Birkenhead BC,,8090.09,,,,114379.84,,,,0,,,,0,,122469.93,,,0,,uncapped,9360.48,uncapped,0,9360.48,131830.41,478
Frank Roy,Motherwell and Wishaw BC,,10729.97,,,,102992.37,,,,0,,,,0,,113722.34,,,18754.8,,uncapped,16500.08,uncapped,0,35254.88,148977.22,626
Gareth Johnson,Dartford CC,,21947.94,,,,86136.94,,,,0,,,,0,,108084.88,,,0,,uncapped,9074.98,uncapped,0,9074.98,117159.86,3970
Gareth Thomas,Harrow West BC,,19542.47,,,,114305.3,,,,0,,,,0,,133847.77,,,0,,uncapped,204.55,uncapped,135.8,340.35,134188.12,177
Gary Streeter,South West Devon CC,,16624.2,,,,111534.78,,,,0,,,,0,,128158.98,,,19905.64,,uncapped,10172.4,uncapped,0,30078.04,158237.02,234
Gavin Barwell,Croydon Central BC,,17819.34,,,,102211.13,,,,0,,,,0,,120030.47,,,0,,uncapped,312.55,uncapped,0,312.55,120343.02,3955
Gavin Shuker,Luton South BC,,10222.8,,,,132706.85,,,,0,,,,0,,142929.65,,,2310.25,,uncapped,3879.97,uncapped,0,6190.22,149119.87,4013
Gavin Williamson,South Staffordshire CC,,14863.81,,,,65516.85,,,,0,,,,0,,80380.66,,,17864.27,,uncapped,5767.26,uncapped,232.9,23864.43,104245.09,4108
Gemma Doyle,West Dunbartonshire CC,,21211.33,,,,80355.01,,,,0,,,,0,,101566.34,,,0,,uncapped,14837.31,uncapped,0,14837.31,116403.65,4063
Geoffrey Clifton-Brown,The Cotswolds CC,,10948.63,,,,102124.32,,,,0,,,,0,,113072.95,,,0,,uncapped,4297.59,uncapped,0,4297.59,117370.54,249
Geoffrey Cox,Torridge and West Devon CC,,26541.67,,,,106998.97,,,,0,,,,0,,133540.64,,,9754.05,,uncapped,12591.14,uncapped,931.64,23276.83,156817.47,1508
Geoffrey Robinson,Coventry North West BC,,20147.56,,,,127562.76,,,,0,,,,0,,147710.32,,,0,,uncapped,10509.2,uncapped,0,10509.2,158219.52,307
George Eustice,Camborne and Redruth CC,,9592.26,,,,104165.07,,,,0,,,,0,,113757.33,,,0,,uncapped,12189.38,uncapped,0,12189.38,125946.71,3934
George Freeman,Mid Norfolk CC,,19192.9,,,,113215.71,,,,0,,,,0,,132408.61,,,3960,,uncapped,6315.17,uncapped,0,10275.17,142683.78,4020
George Hollingbery,Meon Valley CC,,4449.52,,,,113042.76,,,,0,,,,0,,117492.28,,,0,,uncapped,390.95,uncapped,0,390.95,117883.23,4016
George Howarth,Knowsley BC,,14598.52,,,,105651.08,,,,0,,,,0,,120249.6,,,19783.03,,uncapped,6719.75,uncapped,0,26502.78,146752.38,481
George Mudie,Leeds East BC,,18031.7,,,,114619.68,,,,0,,,,0,,132651.38,,,0,,uncapped,7315.95,uncapped,1564,8879.95,141531.33,414
George Osborne,Tatton CC,,4338.36,,,,105933.69,,,,0,,,,0,,110272.05,,,0,,uncapped,1590.5,uncapped,0,1590.5,111862.55,1458
George Young,North West Hampshire CC,,11832.06,,,,78238.49,,,,0,,,,0,,90070.55,,,17450.26,,uncapped,4042.9,uncapped,0,21493.16,111563.71,57
Geraint Davies,Swansea West BC,,18337.51,,,,96271.28,,,,0,,,,0,,114608.79,,,6119.6,,uncapped,8168.34,uncapped,0,14287.94,128896.73,155
Gerald Howarth,Aldershot BC,,16789.17,,,,91826.97,,,,0,,,,0,,108616.14,,,0,,uncapped,1494.2,uncapped,0,1494.2,110110.34,47
Gerald Kaufman,"Manchester, Gorton BC",,6959.59,,,,112348.25,,,,0,,,,0,,119307.84,,,3718.97,,uncapped,9783.54,uncapped,0,13502.51,132810.35,451
Gerry Sutcliffe,Bradford South BC,,22030.76,,,,100503.6,,,,0,,,,0,,122534.36,,,16900,,uncapped,11379.66,uncapped,0,28279.66,150814.02,403
Gisela Stuart,"Birmingham, Edgbaston BC",,14862.7,,,,106339.36,,,,0,,,,0,,121202.06,,,11037.59,,uncapped,5162.3,uncapped,0,16199.89,137401.95,296
Glenda Jackson,Hampstead and Kilburn BC,,15902.17,,,,127518.41,,,,0,,,,0,,143420.58,,,0,,uncapped,44,uncapped,0,44,143464.58,175
Gloria De Piero,Ashfield CC,,13660.22,,,,106578.5,,,,0,,,,0,,120238.72,,,18120.62,,uncapped,4202.88,uncapped,0,22323.5,142562.22,3915
Glyn Davies,Montgomeryshire CC,,18781.96,,,,101783.01,,,,0,,,,0,,120564.97,,,19382.94,,uncapped,11116.4,uncapped,0,30499.34,151064.31,4041
Gordon Banks,Ochil and South Perthshire CC,,23199.33,,,,111825.68,,,,0,,,,0,,135025.01,,,18486.69,,uncapped,20912.13,uncapped,0,39398.82,174423.83,1589
Gordon Birtwistle,Burnley BC,,14103.7,,,,113469.66,,,,0,,,,0,,127573.36,,,18574.88,,uncapped,9797.7,uncapped,0,28372.58,155945.94,3946
Gordon Brown,Kirkcaldy and Cowdenbeath CC,,11963.95,,,,101193.04,,,,0,,,,0,,113156.99,,,0,,uncapped,14887.64,uncapped,0,14887.64,128044.63,591
Gordon Henderson,Sittingbourne and Sheppey CC,,11788.29,,,,96230.97,,,,0,,,,0,,108019.26,,,0,,uncapped,8435.5,uncapped,0,8435.5,116454.76,4050
Gordon Marsden,Blackpool South BC,,21366.79,,,,112975.43,,,,0,,,,0,,134342.22,,,7517.24,,uncapped,6634.13,uncapped,0,14151.37,148493.59,465
Graeme Morrice,Livingston CC,,19729.78,,,,110416.47,,,,0,,,,0,,130146.25,,,20538.56,,uncapped,6819.5,uncapped,0,27358.06,157504.31,4012
Graham Allen,Nottingham North BC,,18499.66,,,,98705.96,,,,0,,,,0,,117205.62,,,10350.42,,uncapped,8307.5,uncapped,0,18657.92,135863.54,364
Graham Brady,Altrincham and Sale West BC,,19430.18,,,,114026.21,,,,0,,,,0,,133456.39,,,4462.36,,uncapped,10810.78,uncapped,0,15273.14,148729.53,435
Graham Evans,Weaver Vale CC,,15196.84,,,,112515.37,,,,0,,,,0,,127712.21,,,21051.84,,uncapped,12502.47,uncapped,0,33554.31,161266.52,4081
Graham Jones,Hyndburn BC,,21742.14,,,,103180.84,,,,0,,,,0,,124922.98,,,21554.51,,uncapped,4859.06,uncapped,0,26413.57,151336.55,3999
Graham Stringer,Blackley and Broughton BC,,13155.84,,,,108387.07,,,,0,,,,0,,121542.91,,,13679.8,,uncapped,10211.25,uncapped,0,23891.05,145433.96,449
Graham Stuart,Beverley and Holderness CC,,13780.09,,,,109210.89,,,,0,,,,0,,122990.98,,,18313.85,,uncapped,7188.61,uncapped,0,25502.46,148493.44,1482
Grahame Morris,Easington CC,,19072.25,,,,123346.68,,,,0,,,,0,,142418.93,,,19703.89,,uncapped,6143.4,uncapped,0,25847.29,168266.22,3973
Grant Shapps,Welwyn Hatfield CC,,16870.94,,,,107694.04,,,,0,,,,0,,124564.98,,,0,,uncapped,5427.5,uncapped,0,5427.5,129992.48,1582
Greg Clark,Tunbridge Wells CC,,19294.08,,,,133626.66,,,,0,,,,0,,152920.74,,,19332.93,,uncapped,1120.22,uncapped,0,20453.15,173373.89,1578
Greg Hands,Chelsea and Fulham BC,,6033.64,,,,105813.59,,,,0,,,,0,,111847.23,,,0,,uncapped,640.81,uncapped,798.09,1438.9,113286.13,1526
Greg Knight,East Yorkshire CC,,9228.24,,,,113751.79,,,,0,,,,0,,122980.03,,,20126.48,,uncapped,8439.6,uncapped,0,28566.08,151546.11,1200
Greg Mulholland,Leeds North West BC,,18820.22,,,,136661.63,,,,0,,,,0,,155481.85,,,19814.99,,uncapped,11684.81,uncapped,0,31499.8,186981.65,1540
Gregg McClymont,"Cumbernauld, Kilsyth and Kirkintilloch East CC",,18355.81,,,,113073.15,,,,0,,,,0,,131428.96,,,5953.15,,uncapped,19346.99,uncapped,0,25300.14,156729.1,3949
Gregory Barker,Bexhill and Battle CC,,14392.9,,,,96078.53,,,,0,,,,0,,110471.43,,,23904.75,,uncapped,3118.37,uncapped,0,27023.12,137494.55,1389
Gregory Campbell,East Londonderry,,4193.92,,,,82907.9,,,,0,,,,0,,87101.82,,,7068.43,,uncapped,26499.87,uncapped,0,33568.3,120670.12,1409
Guto Bebb,Aberconwy CC,,15245,,,,110137.91,,,,0,,,,0,,125382.91,,,19613.39,,uncapped,17155.18,uncapped,75,36843.57,162226.48,3910
Guy Opperman,Hexham CC,,14013.45,,,,96738.36,,,,0,,,,0,,110751.81,,,7226.66,,uncapped,3102.63,uncapped,0,10329.29,121081.1,4142
Harriet Harman,Camberwell and Peckham BC,,23494.12,,,,131547.55,,,,0,,,,0,,155041.67,,,0,,uncapped,15.62,uncapped,114,129.62,155171.29,150
Harriett Baldwin,West Worcestershire CC,,17182.1,,,,114642.72,,,,0,,,,0,,131824.82,,,4787.73,,uncapped,7593,uncapped,0,12380.73,144205.55,4107
Hazel Blears,Salford and Eccles BC,,18772.5,,,,106500,,,,0,,,,0,,125272.5,,,13979.04,,uncapped,8118.5,uncapped,0,22097.54,147370.04,456
Heather Wheeler,South Derbyshire CC,,19026.91,,,,87396.04,,,,0,,,,0,,106422.95,,,20696.12,,uncapped,9115.7,uncapped,0,29811.82,136234.77,4053
Heidi Alexander,Lewisham East BC,,17161.96,,,,107722.86,,,,0,,,,0,,124884.82,,,0,,uncapped,0,uncapped,1526.93,1526.93,126411.75,4038
Helen Goodman,Bishop Auckland CC,,19268.91,,,,116686.7,,,,0,,,,0,,135955.61,,,7551.2,,uncapped,19752.07,uncapped,0,27303.27,163258.88,1484
Helen Grant,Maidstone and The Weald CC,,16588.51,,,,95886.75,,,,0,,,,0,,112475.26,,,2383.33,,uncapped,974.4,uncapped,0,3357.73,115832.99,4018
Helen Jones,Warrington North BC,,19799.39,,,,105564.17,,,,0,,,,0,,125363.56,,,18256.16,,uncapped,8561.48,uncapped,0,26817.64,152181.2,432
Henry Bellingham,North West Norfolk CC,,14665.45,,,,112557.01,,,,0,,,,0,,127222.46,,,7010.88,,uncapped,4523.7,uncapped,0,11534.58,138757.04,1441
Henry Smith,Crawley BC,,15847.95,,,,99273.63,,,,0,,,,0,,115121.58,,,0,,uncapped,5053.9,uncapped,0,5053.9,120175.48,3960
Hilary Benn,Leeds Central BC,,15305.48,,,,99445.34,,,,0,,,,0,,114750.82,,,3947.81,,uncapped,8624.1,uncapped,0,12571.91,127322.73,413
Hugh Bayley,York Central BC,,20293.46,,,,118415.38,,,,0,,,,0,,138708.84,,,6311.7,,uncapped,11210.75,uncapped,0,17522.45,156231.29,385
Hugh Robertson,Faversham and Mid Kent CC,,12925.06,,,,70626.93,,,,0,,,,0,,83551.99,,,22263.93,,uncapped,3705.4,uncapped,0,25969.33,109521.32,1415
Hugo Swire,East Devon CC,,10100.77,,,,107365.76,,,,0,,,,0,,117466.53,,,16037.33,,uncapped,5302.2,uncapped,225.2,21564.73,139031.26,1408
Huw Irranca-Davies,Ogmore CC,,15418.86,,,,110754.11,,,,0,,,,0,,126172.97,,,13204.31,,uncapped,8622.83,uncapped,0,21827.14,148000.11,1476
Hywel Francis,Aberavon CC,,17950.21,,,,104508.48,,,,0,,,,0,,122458.69,,,10063.95,,uncapped,7302.51,uncapped,0,17366.46,139825.15,1382
Hywel Williams,Arfon CC,,16575.82,,,,107740.65,,,,0,,,,0,,124316.47,,,19347.03,,uncapped,8479.15,uncapped,0,27826.18,152142.65,1397
Iain Duncan Smith,Chingford and Woodford Green BC,,20112.3,,,,106829.6,,,,0,,,,0,,126941.9,,,0,,uncapped,629.2,uncapped,0,629.2,127571.1,152
Iain McKenzie,Inverclyde CC,,13979.07,,,,56737.83,,,,6251.85,,,,0,,76968.75,,,12969.25,,uncapped,14874.1,uncapped,1161.6,29004.95,105973.7,4246
Iain Stewart,Milton Keynes South BC,,11117.53,,,,112033.73,,,,0,,,,0,,123151.26,,,8250,,uncapped,2946.75,uncapped,359.85,11556.6,134707.86,4015
Iain Wright,Hartlepool BC,,13730.62,,,,111370.68,,,,0,,,,0,,125101.3,,,0,,uncapped,2942.1,uncapped,0,2942.1,128043.4,1478
Ian Austin,Dudley North BC,,15336.95,,,,111844.63,,,,0,,,,0,,127181.58,,,19385.24,,uncapped,6927.4,uncapped,0,26312.64,153494.22,1511
Ian Davidson,Glasgow South West BC,,16984.97,,,,79450.64,,,,0,,,,0,,96435.61,,,2469.15,,uncapped,12474.33,uncapped,0,14943.48,111379.09,611
Ian Lavery,Wansbeck CC,,17058.15,,,,116058.46,,,,0,,,,0,,133116.61,,,18558.2,,uncapped,14184,uncapped,0,32742.2,165858.81,4139
Ian Liddell-Grainger,Bridgwater and West Somerset CC,,15406.86,,,,132086.16,,,,0,,,,0,,147493.02,,,21144.5,,uncapped,9309.4,uncapped,0,30453.9,177946.92,1396
Ian Lucas,Wrexham CC,,21097.47,,,,104039.18,,,,0,,,,0,,125136.65,,,19633.68,,uncapped,4801.2,uncapped,0,24434.88,149571.53,1470
Ian Mearns,Gateshead BC,,17501.14,,,,110336,,,,0,,,,0,,127837.14,,,17957.52,,uncapped,10451.85,uncapped,180.75,28590.12,156427.26,4000
Ian Murray,Edinburgh South BC,,25254.08,,,,117448.59,,,,0,,,,0,,142702.67,,,19888.84,,uncapped,11008.52,uncapped,0,30897.36,173600.03,3966
Ian Paisley,North Antrim,,20323.89,,,,114660.84,,,,0,,,,0,,134984.73,,,25750.21,,uncapped,32461.42,uncapped,0,58211.63,193196.36,4129
Ian Swales,Redcar BC,,10163.52,,,,102809.86,,,,0,,,,0,,112973.38,,,20058.08,,uncapped,5028.83,uncapped,0,25086.91,138060.29,4045
Ivan Lewis,Bury South BC,,17797.33,,,,115304.54,,,,0,,,,0,,133101.87,,,18884.89,,uncapped,8809.68,uncapped,0,27694.57,160796.44,441
Jack Dromey,"Birmingham, Erdington BC",,19871.74,,,,117510.64,,,,0,,,,0,,137382.38,,,8876.44,,uncapped,7208.69,uncapped,0,16085.13,153467.51,3913
Jack Lopresti,Filton and Bradley Stoke CC,,19444.31,,,,116884.04,,,,0,,,,0,,136328.35,,,11237.18,,uncapped,4513.15,uncapped,0,15750.33,152078.68,3989
Jack Straw,Blackburn BC,,21861.8,,,,114731.2,,,,0,,,,0,,136593,,,2050.26,,uncapped,5581.3,uncapped,0,7631.56,144224.56,463
Jackie Doyle-Price,Thurrock BC,,19163.32,,,,103404.29,,,,0,,,,0,,122567.61,,,0,,uncapped,1059.05,uncapped,0,1059.05,123626.66,4065
Jacob Rees-Mogg,North East Somerset CC,,881.27,,,,91593.67,,,,0,,,,0,,92474.94,,,0,,uncapped,0,uncapped,0,0,92474.94,4099
Jake Berry,Rossendale and Darwen BC,,17795.06,,,,113131.04,,,,0,,,,0,,130926.1,,,19900.05,,uncapped,9485.74,uncapped,156.87,29542.66,160468.76,4060
James Arbuthnot,North East Hampshire CC,,13064.89,,,,105085.87,,,,0,,,,0,,118150.76,,,12743.44,,uncapped,2075,uncapped,0,14818.44,132969.2,56
James Brokenshire,Old Bexley and Sidcup BC,,5328.1,,,,98315.04,,,,0,,,,0,,103643.14,,,0,,uncapped,0,uncapped,0,0,103643.14,1530
James Clappison,Hertsmere CC,,1449.63,,,,82105.71,,,,0,,,,0,,83555.34,,,0,,uncapped,0,uncapped,239,239,83794.34,67
James Duddridge,Rochford and Southend East CC,,17487.08,,,,98366.05,,,,0,,,,0,,115853.13,,,6386.59,,uncapped,4098.37,uncapped,0,10484.96,126338.09,1559
James Gray,North Wiltshire CC,,18897.72,,,,114530.8,,,,0,,,,0,,133428.52,,,15716,,uncapped,10335.45,uncapped,0,26051.45,159479.97,261
James Morris,Halesowen and Rowley Regis BC,,15321.97,,,,103320.6,,,,0,,,,0,,118642.57,,,8813.43,,uncapped,5041.77,uncapped,0,13855.2,132497.77,3992
James Paice,South East Cambridgeshire CC,,6022.55,,,,112667.82,,,,0,,,,0,,118690.37,,,8327.58,,uncapped,3932.75,uncapped,0,12260.33,130950.7,124
James Wharton,Stockton South BC,,12217.03,,,,100347.86,,,,0,,,,0,,112564.89,,,19486.53,,uncapped,5400.45,uncapped,0,24886.98,137451.87,4123
Jamie Reed,Copeland CC,,14436.41,,,,107950.92,,,,0,,,,0,,122387.33,,,6905.29,,uncapped,15367.04,uncapped,1641.6,23913.93,146301.26,1503
Jane Ellison,Battersea BC,,20762.86,,,,111156.49,,,,0,,,,0,,131919.35,,,0,,uncapped,122.5,uncapped,0,122.5,132041.85,3918
Jason McCartney,Colne Valley CC,,13855.63,,,,101128.46,,,,0,,,,0,,114984.09,,,6134.75,,uncapped,1811.7,uncapped,0,7946.45,122930.54,3953
Jeffrey Donaldson,Lagan Valley,,17518.59,,,,112135.85,,,,0,,,,0,,129654.44,,,11076.35,,uncapped,31505.34,uncapped,0,42581.69,172236.13,650
Jenny Chapman,Darlington BC,,17740.38,,,,114855.53,,,,0,,,,0,,132595.91,,,26870.95,,uncapped,7426,uncapped,0,34296.95,166892.86,3972
Jenny Willott,Cardiff Central BC,,15362.9,,,,93253.54,,,,0,,,,0,,108616.44,,,21132.45,,uncapped,7399.7,uncapped,0,28532.15,137148.59,1497
Jeremy Browne,Taunton Deane CC,,14928.12,,,,99642.01,,,,0,,,,0,,114570.13,,,0,,uncapped,4883.8,uncapped,0,4883.8,119453.93,1575
Jeremy Corbyn,Islington North BC,,14888.57,,,,112110.19,,,,0,,,,0,,126998.76,,,0,,uncapped,1609.35,uncapped,0,1609.35,128608.11,185
Jeremy Hunt,South West Surrey CC,,12462.39,,,,99902.89,,,,0,,,,0,,112365.28,,,1332.28,,uncapped,2139.99,uncapped,0,3472.27,115837.55,1572
Jeremy Lefroy,Stafford CC,,18124.43,,,,113554.04,,,,0,,,,0,,131678.47,,,12205.25,,uncapped,2614.69,uncapped,0,14819.94,146498.41,4109
