﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Adam Afriyie,Windsor CC,26100,Standard London area budget,0,26100,148500,Standard London area budget,106203.21,42296.79,0,,0,0,0,,0,0,106203.21,0,,0,0,0,0,0,0,0,106203.21,1586
Adam Holloway,Gravesham CC,23450,Standard non-London area budget,12736.98,10713.02,141400,Standard non-London area budget,131941.13,9458.87,0,,0,0,0,,0,0,144678.11,0,,0,0,0,2517.53,0,88,2605.53,147283.64,1522
Adrian Bailey,West Bromwich West BC,23450,Standard non-London area budget,17271.416,6178.584,141400,Standard non-London area budget,135802.54,5597.46,0,,0,0,0,,0,0,153073.96,20610,Standard budget for renting a property in the London area,18532.92,2077.08,0,4258.3,0,0,22791.22,175865.18,320
Alan Brown,Kilmarnock and Loudoun CC,23450,Standard non-London area budget,23255.682,194.318,141400,Standard non-London area budget,137174.48,4225.52,2.2,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,997.80 covers the spend for 2015-16, and the remaining £2.20 was available to spend in 2016-17, until 7th May 2016.",0,2.2,0,,0,0,160430.16,20610,Standard budget for renting a property in the London area,20186.18,423.82,0,16595.42,0,0,36781.6,197211.76,4470
Alan Campbell,Tynemouth BC,23450,Standard non-London area budget,22505.12,944.88,141400,Standard non-London area budget,107238.23,34161.77,0,,0,0,0,,0,0,129743.35,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),3898.86,4951.14,0,15462,0,0,19360.86,149104.21,529
Alan Duncan,Rutland and Melton CC,23450,Standard non-London area budget,19396.72647,4053.27353,141400,Standard non-London area budget,113798.06,27601.94,0,,0,0,0,,0,0,133194.79,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),7364.62,1485.38,0,610.65,0,0,7975.27,141170.06,343
Alan Haselhurst,Saffron Walden CC,23450,Standard non-London area budget,16632.52,6817.48,141400,Standard non-London area budget,122546.67,18853.33,0,,0,0,0,,0,0,139179.19,20610,Standard budget for renting a property in the London area,16125.26,4484.74,0,3082.6,0,0,19207.86,158387.05,43
Alan Johnson,Kingston upon Hull West and Hessle BC,23450,Standard non-London area budget,12259.83,11190.17,141400,Standard non-London area budget,135641.50,5758.50,0,,0,0,0,,0,0,147901.33,23035,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",19400.21,3634.79,0,4657.15,0,0,24057.36,171958.69,376
Alan Mak,Havant BC,23450,Standard non-London area budget,23450,0,141400,Standard non-London area budget,110510.30,30889.70,6000,Standard budget,5414.69,585.31,0,,0,0,139374.99,20610,Standard budget for renting a property in the London area,20599.2,10.8,0,1974,0,0,22573.2,161948.19,4484
Alan Meale,Mansfield CC,23450,Standard non-London area budget,16549.08,6900.92,141400,Standard non-London area budget,119859.60,21540.40,0,,0,0,0,,0,0,136408.68,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),7174.56,1675.44,0,13343.16,0,0,20517.72,156926.40,361
