﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Alan Whitehead,"Southampton, Test BC",23450,Standard non-London area budget,15291.734,8158.266,141400,Standard non-London area budget,136930.23,4469.77,0,,0,0,0,,0,0,152221.96,20610,Standard budget for renting a property in the London area,20085.88,524.12,0,5169.8,0,498,25753.68,177975.64,62
Alasdair McDonnell,Belfast South,23450,Standard non-London area budget,23450,0,141400,Standard non-London area budget,141312.95,87.05,0,,0,0,0,,0,0,164762.95,6103,Hotels,6103,0,0,23766.22,0,0,29869.22,194632.17,1596
Albert Owen,Ynys Môn CC,23450,Standard non-London area budget,20649.47,2800.53,141400,Standard non-London area budget,120026.18,21373.82,0,,0,0,0,,0,0,140675.65,20610,Standard budget for renting a property in the London area,20610,0,0,10623.33,0,0,31233.33,171908.98,1474
Alberto Costa,South Leicestershire CC,23450,Standard non-London area budget,22792.37,657.63,141400,Standard non-London area budget,123577.00,17823.00,727.29,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,272.71 covers the spend for 2015-16, and the remaining £727.29 was available to spend in 2016-17, until 7th May 2016.",620.05,107.24,0,,0,0,146989.42,16210,"Standard budget for renting a property in Constituency Band D, plus an uplift to cover the cost of two dependants",15780,430,0,12555.7,0,0,28335.7,175325.12,4439
Alec Shelbrooke,Elmet and Rothwell CC,23450,Standard non-London area budget,12922.144,10527.856,141400,Standard non-London area budget,122434.91,18965.09,0,,0,0,0,,0,0,135357.05,20610,Standard budget for renting a property in the London area,20086.46,523.54,0,6082.05,0,0,26168.51,161525.56,3997
Alex Chalk,Cheltenham BC,23450,Standard non-London area budget,23344.578,105.422,141400,Standard non-London area budget,129985.52,11414.48,0.49,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,999.51 covers the spend for 2015-16, and the remaining £0.49 was available to spend in 2016-17, until 7th May 2016.",0,0.49,0,,0,0,153330.10,0,,0,0,0,7476.62,0,0,7476.62,160806.72,4481
Alex Cunningham,Stockton North BC,23450,Standard non-London area budget,19277.176,4172.824,141400,Standard non-London area budget,139526.12,1873.88,0,,0,0,0,,0,0,158803.30,20610,Standard budget for renting a property in the London area,20610,0,0,8193.46,0,0,28803.46,187606.76,4122
Alex Salmond,Gordon CC,23450,Standard non-London area budget,23450,0,141400,Standard non-London area budget,138573.57,2826.43,303.54,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,696.46 covers the spend for 2015-16, and the remaining £303.54 was available to spend in 2016-17, until 7th May 2016.",0,303.54,0,,0,0,162023.57,12573.2,Hotels,12573.2,0,0,63356.96,0,0,75930.16,237953.73,577
Alison McGovern,Wirral South CC,23450,Standard non-London area budget,16134.288,7315.712,142424.46,"Standard non-London area budget, plus an uplift of £1,024.46 for staff absence",131038.68,11385.78,0,,0,0,0,,0,0,147172.97,23035,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",17136.12,5898.88,0,13366.54,0,0,30502.66,177675.63,4083
Alison Thewliss,Glasgow Central BC,25450.98,"Standard non-London area budget, plus an uplift of £2,000.98 agreed following an application to IPSA",25450.98,0,141400,Standard non-London area budget,140693.76,706.24,0,,0,0,0,,0,0,166144.74,25460,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of two dependants",24995.28,464.72,0,32286.65,0,0,57281.93,223426.67,4430
Alistair Burt,North East Bedfordshire CC,23450,Standard non-London area budget,13412.462,10037.538,149551.2,"Standard non-London area budget, plus an uplift of £8,151.20 for staff absence",133695.56,15855.64,0,,0,0,0,,0,0,147108.02,20610,Standard budget for renting a property in the London area,20400,210,0,7177.19,0,0,27577.19,174685.21,1201
Alistair Carmichael,Orkney and Shetland CC,23450,Standard non-London area budget,23170.58,279.42,141400,Standard non-London area budget,137276.85,4123.15,0,,0,0,0,,0,0,160447.43,23035,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",13081.41,9953.59,0,42706.8,0,0,55788.21,216235.64,1442
Alok Sharma,Reading West CC,23450,Standard non-London area budget,15348.322,8101.678,141400,Standard non-London area budget,130957.08,10442.92,0,,0,0,0,,0,0,146305.40,139,Hotels,139,0,0,9222.39,0,0,9361.39,155666.79,4014
Alun Cairns,Vale of Glamorgan CC,23450,Standard non-London area budget,11482.43,11967.57,141400,Standard non-London area budget,123519.10,17880.90,0,,0,0,0,,0,0,135001.53,20610,Standard budget for renting a property in the London area,20472.77,137.23,0,9910.84,0,0,30383.61,165385.14,4086
Amanda Milling,Cannock Chase CC,23450,Standard non-London area budget,21323.292,2126.708,141400,Standard non-London area budget,134580.83,6819.17,193.81,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,806.19 covers the spend for 2015-16, and the remaining £193.81 was available to spend in 2016-17, until 7th May 2016.",0,193.81,0,,0,0,155904.12,20610,Standard budget for renting a property in the London area,18955.72,1654.28,0,6469.39,0,0,25425.11,181329.23,4454
Amanda Solloway,Derby North BC,23450,Standard non-London area budget,19093.614,4356.386,141400,Standard non-London area budget,139124.71,2275.29,2065.87,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £3,934.13 covers the spend for 2015-16, and the remaining £2065.87 was available to spend in 2016-17, until 7th May 2016.",2040,25.87,0,,0,0,160258.32,20610,Standard budget for renting a property in the London area,20345.65,264.35,0,14422.35,0,0,34768,195026.32,4372
Amber Rudd,Hastings and Rye CC,23450,Standard non-London area budget,22359.544,1090.456,141400,Standard non-London area budget,136789.97,4610.03,0,,0,0,0,,0,0,159149.51,11360,Standard budget for renting a property in constituency band D,11333.14,26.86,0,1271.86,0,0,12605,171754.51,3983
Andrea Jenkyns,Morley and Outwood CC,23450,Standard non-London area budget,22780.09,669.91,141400,Standard non-London area budget,137224.53,4175.47,965.56,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,034.44 covers the spend for 2015-16, and the remaining £965.56 was available to spend in 2016-17, until 7th May 2016.",0,965.56,0,,0,0,160004.62,20610,Standard budget for renting a property in the London area,15183.49,5426.51,0,8980.91,0,0,24164.4,184169.02,4490
Andrea Leadsom,South Northamptonshire CC,23450,Standard non-London area budget,13977.352,9472.648,141400,Standard non-London area budget,137248.70,4151.30,0,,0,0,0,,0,0,151226.05,0,,0,0,0,5707.71,0,0,5707.71,156933.76,4117
Andrew Bingham,High Peak CC,23450,Standard non-London area budget,17962.2,5487.8,141400,Standard non-London area budget,132227.46,9172.54,0,,0,0,0,,0,0,150189.66,20610,Standard budget for renting a property in the London area,20422.32,187.68,0,6520.3,0,0,26942.62,177132.28,3994
Andrew Bridgen,North West Leicestershire CC,23450,Standard non-London area budget,17950.18,5499.82,141400,Standard non-London area budget,105888.56,35511.44,0,,0,0,0,,0,0,123838.74,23035,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",22520.34,514.66,0,8043.25,0,0,30563.59,154402.33,4133
Andrew Griffiths,Burton CC,23450,Standard non-London area budget,12695.5,10754.5,141400,Standard non-London area budget,111051.83,30348.17,0,,0,0,0,,0,0,123747.33,17850,Hotels,17850,0,0,7223.54,0,0,25073.54,148820.87,3936
Andrew Gwynne,Denton and Reddish BC,23450,Standard non-London area budget,17235.3337,6214.6663,141400,Standard non-London area budget,137431.50,3968.50,0,,0,0,0,,0,0,154666.83,20610,Standard budget for renting a property in the London area,19192.09,1417.91,0,8369.05,0,0,27561.14,182227.97,1506
Andrew Jones,Harrogate and Knaresborough CC,23450,Standard non-London area budget,22055.22,1394.78,141400,Standard non-London area budget,124858.02,16541.98,0,,0,0,0,,0,0,146913.24,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),2098.9,6751.1,0,8688.04,0,0,10786.94,157700.18,3996
Andrew Mitchell,Sutton Coldfield BC,23450,Standard non-London area budget,20948.778,2501.222,147177.32,"Standard non-London area budget, plus an uplift of £5,777.32 for staff absence",145578.55,1598.77,0,,0,0,0,,0,0,166527.33,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),3454.14,5395.86,0,7472.44,0,0,10926.58,177453.91,1211
Andrew Murrison,South West Wiltshire CC,23450,Standard non-London area budget,18288.11,5161.89,151676.97,"Standard non-London area budget, plus an uplift of £10,276.97 for staff absence",106836.80,44840.17,0,,0,0,0,,0,0,125124.91,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),3833.9,5016.1,0,4117.94,0,0,7951.84,133076.75,1466
Andrew Percy,Brigg and Goole CC,23450,Standard non-London area budget,18301.7,5148.3,141873.53,"Standard non-London area budget, plus an uplift of £473.53 for staff absence",141700.19,173.34,0,,0,0,0,,0,0,160001.89,21045,Standard budget for renting in the London area + £435.00 in hotels,19483,1562,0,7276.2,0,0,26759.2,186761.09,3939
Andrew Rosindell,Romford BC,26100,Standard London area budget,22183.326,3916.674,148500,Standard London area budget,147631.32,868.68,0,,0,0,0,,0,0,169814.65,0,,0,0,0,994.53,0,0,994.53,170809.18,1447
Andrew Selous,South West Bedfordshire CC,23450,Standard non-London area budget,20406.622,3043.378,141400,Standard non-London area budget,138048.34,3351.66,0,,0,0,0,,0,0,158454.96,0,,0,0,0,402.2,0,0,402.2,158857.16,1453
Andrew Smith,Oxford East BC,23450,Standard non-London area budget,17403.82,6046.18,141400,Standard non-London area budget,141400.00,0.00,0,,0,0,0,,0,0,158803.82,0,,0,0,0,2531.6,0,0,2531.6,161335.42,95
Andrew Stephenson,Pendle BC,23450,Standard non-London area budget,23450,0,141400,Standard non-London area budget,128162.38,13237.62,0,,0,0,0,,0,0,151612.38,737.5,Standard budget for accommodation associated expenditures for one month,0,737.5,0,7987.74,0,0,7987.74,159600.12,4044
Andrew Turner,Isle of Wight CC,23450,Standard non-London area budget,19599.39,3850.61,141400,Standard non-London area budget,97669.49,43730.51,0,,0,0,0,,0,0,117268.88,15000,Hotels,15000,0,0,4389.52,0,0,19389.52,136658.40,1426
Andrew Tyrie,Chichester CC,23450,Standard non-London area budget,16984.53,6465.47,146792.78,"Standard non-London area budget plus an uplift of £5,392.78 for staff absence",138930.82,7861.96,0,,0,0,0,,0,0,155915.35,20610,Standard budget for renting a property in the London area,20000,610,0,2803.33,0,0,22803.33,178718.68,112
Andy Burnham,Leigh CC,23450,Standard non-London area budget,21461.708,1988.292,144008.22,"Standard non-London area budget, plus an uplift of £2,608.22 for staff absence",138397.42,5610.80,0,,0,0,0,,0,0,159859.13,27885,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of three dependants",19998.6,7886.4,0,6490.65,0,0,26489.25,186348.38,1427
Andy McDonald,Middlesbrough BC,23450,Standard non-London area budget,22685.724,764.276,141400,Standard non-London area budget,134312.54,7087.46,0,,0,0,0,,0,0,156998.26,23035,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",20799.96,2235.04,0,8207.31,0,0,29007.27,186005.53,4269
Andy Slaughter,Hammersmith BC,26100,Standard London area budget,25242.29,857.71,148500,Standard London area budget,140262.35,8237.65,0,,0,0,0,,0,0,165504.64,0,,0,0,0,1664.2,0,0,1664.2,167168.84,1516
Angela Crawley,Lanark and Hamilton East CC,23450,Standard non-London area budget,22429,1021,141400,Standard non-London area budget,133277.66,8122.34,1505.97,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £4,494.03 covers the spend for 2015-16, and the remaining £1505.97 was available to spend in 2016-17, until 7th May 2016.",59.52,1446.45,0,,0,0,155766.18,20610,Standard budget for renting a property in the London area,20110.86,499.14,0,30698.17,0,145.44,50954.47,206720.65,4469
Angela Eagle,Wallasey BC,23450,Standard non-London area budget,21029.54,2420.46,141400,Standard non-London area budget,135710.95,5689.05,0,,0,0,0,,0,0,156740.49,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),5119.87,3730.13,0,7285.38,0,0,12405.25,169145.74,491
Angela Rayner,Ashton-under-Lyne BC,23450,Standard non-London area budget,15533.56,7916.44,142105.07,Standard non-London area budget plus an uplift of £705.07 for staff absence,126950.75,15154.32,550.94,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,449.06 covers the spend for 2015-16, and the remaining £550.94 was available to spend in 2016-17, until 7th May 2016.",0,550.94,0,,0,0,142484.31,25460,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of two dependants",10200,15260,0,10760.18,0,0,20960.18,163444.49,4356
Angela Smith,Penistone and Stocksbridge CC,23602.9,Standard non-London area budget plus an uplift of £152.90,23602.9,0,141400,Standard non-London area budget,140284.70,1115.30,0,,0,0,0,,0,0,163887.60,20610,Standard budget for renting a property in the London area,21645,-1035,0,9389.36,0,0,31034.36,194921.96,1564
Angela Watkinson,Hornchurch and Upminster BC,26100,Standard London area budget,16577.998,9522.002,148500,Standard London area budget,143003.47,5496.53,0,,0,0,0,,0,0,159581.47,0,,0,0,0,481.33,0,0,481.33,160062.80,1462
Angus MacNeil,Na h-Eileanan an Iar CC,23450,Standard non-London area budget,20511,2939,141400,Standard non-London area budget,104737.49,36662.51,0,,0,0,0,,0,0,125248.49,13589.56,Hotels,13589.56,0,0,39025.99,0,0,52615.55,177864.04,1546
Angus Robertson,Moray CC,23450,Standard non-London area budget,18269.956,5180.044,141400,Standard non-London area budget,91396.69,50003.31,0,,0,0,0,,0,0,109666.65,20610,Standard budget for renting a property in the London area,19940.1,669.9,0,22206.18,0,0,42146.28,151812.93,1433
Ann Clwyd,Cynon Valley CC,23450,Standard non-London area budget,23450,0,143925.52,"Standard non-London area budget, plus an uplift of £2,525.52 for staff absence",143047.04,878.48,0,,0,0,0,,0,0,166497.04,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),6361.35,2488.65,0,6573.95,0,0,12935.3,179432.34,553
Ann Coffey,Stockport BC,23450,Standard non-London area budget,19109.734,4340.266,141400,Standard non-London area budget,128302.47,13097.53,0,,0,0,0,,0,0,147412.20,11360,Standard budget for renting a property in constituency band D,10386.16,973.84,0,11582.93,0,0,21969.09,169381.29,458
Anna Soubry,Broxtowe CC,23450,Standard non-London area budget,23450,0,141400,Standard non-London area budget,141272.88,127.12,0,,0,0,0,,0,0,164722.88,20610,Standard budget for renting a property in the London area,20599.8,10.2,0,14095.08,0,0,34694.88,199417.76,3938
Anna Turley,Redcar BC,23450,Standard non-London area budget,23450,0,151672.77,"Standard non-London area budget, plus an uplift of £10,272.77 agreed following an application to IPSA",144388.61,7284.16,1092.63,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £4,907.37 covers the spend for 2015-16, and the remaining £1,092.63 was available to spend in 2016-17, until 7th May 2016.",0,1092.63,0,,0,0,167838.61,20610,Standard budget for renting a property in the London area,19424.89,1185.11,0,10587.25,0,0,30012.14,197850.75,4449
Anne Main,St Albans CC,26100,Standard London area budget,10715.73,15384.27,148500,Standard London area budget,136487.58,12012.42,0,,0,0,0,,0,0,147203.31,0,,0,0,0,80,0,17.35,97.35,147300.66,1568
Anne McLaughlin,Glasgow North East BC,23450,Standard non-London area budget,23395.01,54.99,141400,Standard non-London area budget,140975.57,424.43,3332.39,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £2,667.61 covers the spend for 2015-16, and the remaining £3,332.39 was available to spend in 2016-17, until 7th May 2016.",2511.2,821.19,0,,0,0,166881.78,20610,Standard budget for renting a property in the London area,20255.91,354.09,0,16784.47,0,244.95,37285.33,204167.11,4437
Anne Milton,Guildford CC,23450,Standard non-London area budget,9414.906,14035.094,141400,Standard non-London area budget,135575.72,5824.28,0,,0,0,0,,0,0,144990.63,0,,0,0,0,4708.5,0,0,4708.5,149699.13,1523
Anne Morris,Newton Abbot CC,23450,Standard non-London area budget,19862.626,3587.374,141400,Standard non-London area budget,138125.14,3274.86,0,,0,0,0,,0,0,157987.77,20610,Standard budget for renting a property in the London area,20457.68,152.32,0,6746.81,0,0,27204.49,185192.26,4249
Anne-Marie Trevelyan,Berwick-upon-Tweed CC,23450,Standard non-London area budget,22831.044,618.956,141400,Standard non-London area budget,127567.08,13832.92,300.75,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,699.25 covers the spend for 2015-16, and the remaining £300.75 was available to spend in 2016-17, until 7th May 2016.",0,300.75,0,,0,0,150398.12,25460,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of two dependants",24226.34,1233.66,0,21115.29,0,0,45341.63,195739.75,4531
Antoinette Sandbach,Eddisbury CC,23450,Standard non-London area budget,18729.06,4720.94,141400,Standard non-London area budget,140103.49,1296.51,1559.09,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £4,440.91 covers the spend for 2015-16, and the remaining £1,559.09 was available to spend in 2016-17, until 7th May 2016.",722.97,836.12,0,,0,0,159555.52,13785,"Standard budget for renting a property in Constituency Band D, plus an uplift to cover the cost of one dependant",13785,0,0,9390.41,0,3630,26805.41,186360.93,4506
Barbara Keeley,Worsley and Eccles South CC,23450,Standard non-London area budget,23118.29,331.71,153311.04,"Standard non-London area budget, plus an uplift of £11,911.04 for staff absence",115280.52,38030.52,0,,0,0,0,,0,0,138398.81,0,,0,0,0,7693.96,0,0,7693.96,146092.77,1588
Barry Gardiner,Brent North BC,26100,Standard London area budget,23100.57,2999.43,148500,Standard London area budget,140935.99,7564.01,0,,0,0,0,,0,0,164036.56,0,,0,0,0,1610.06,0,491.5,2101.56,166138.12,146
Barry Sheerman,Huddersfield BC,23450,Standard non-London area budget,17996.712,5453.288,169900,"Standard non-London area budget, plus an uplift of £28,500.00 for staff redundancy",138461.44,31438.56,0,,0,0,0,,0,0,156458.15,10410,Standard budget for renting a property in constituency band E,9883.47,526.53,0,7586.65,0,0,17470.12,173928.27,411
Ben Bradshaw,Exeter BC,23450,Standard non-London area budget,19167.33,4282.67,141400,Standard non-London area budget,139040.61,2359.39,0,,0,0,0,,0,0,158207.94,12810,Standard budget for renting a property in constituency band C,12810,0,0,5181.37,0,0,17991.37,176199.31,230
Ben Gummer,Ipswich BC,23450,Standard non-London area budget,16993.58,6456.42,141400,Standard non-London area budget,139648.39,1751.61,0,,0,0,0,,0,0,156641.97,24247.46,"Standard London area budget plus an uplift for one dependant for six months, and two dependants for six months",24044.14,203.32,0,12379.12,0,0,36423.26,193065.23,3988
Ben Howlett,Bath BC,23450,Standard non-London area budget,22180.142,1269.858,141400,Standard non-London area budget,136692.24,4707.76,1.46,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,998.54 covers the spend for 2015-16, and the remaining £1.46 was available to spend in 2016-17, until 7th May 2016.",0,1.46,0,,0,0,158872.38,20610,Standard budget for renting a property in the London area,15918.07,4691.93,0,8350.13,0,0,24268.2,183140.58,4445
Ben Wallace,Wyre and Preston North CC,23450,Standard non-London area budget,16651.08,6798.92,141400,Standard non-London area budget,139822.65,1577.35,0,,0,0,0,,0,0,156473.73,27885,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of three dependants",27877.05,7.95,0,18253.53,0,696,46826.58,203300.31,1539
Bernard Jenkin,Harwich and North Essex CC,23450,Standard non-London area budget,12788.834,10661.166,141400,Standard non-London area budget,134854.56,6545.44,0,,0,0,0,,0,0,147643.39,0,,0,0,0,1101.3,0,0,1101.3,148744.69,40
Bill Cash,Stone CC,23450,Standard non-London area budget,17073.552,6376.448,141400,Standard non-London area budget,140590.47,809.53,0,,0,0,0,,0,0,157664.02,20610,Standard budget for renting a property in the London area,20599.81,10.19,0,9334.6,0,0,29934.41,187598.43,288
Bill Esterson,Sefton Central CC,23450,Standard non-London area budget,14083.842,9366.158,141400,Standard non-London area budget,139863.74,1536.26,0,,0,0,0,,0,0,153947.58,25460,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of two dependants",22418.35,3041.65,0,13093,0,0,35511.35,189458.93,4061
Bill Wiggin,North Herefordshire CC,23450,Standard non-London area budget,10257.98,13192.02,141400,Standard non-London area budget,134319.18,7080.82,0,,0,0,0,,0,0,144577.16,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),2007.62,6842.38,0,6430.02,0,0,8437.64,153014.80,1428
Bob Blackman,Harrow East BC,26100,Standard London area budget,26100,0,148500,Standard London area budget,148500.00,0.00,0,,0,0,0,,0,0,174600.00,0,,0,0,0,1835.45,0,0,1835.45,176435.45,4005
Bob Neill,Bromley and Chislehurst BC,26100,Standard London area budget,18942.95,7157.05,148500,Standard London area budget,144473.47,4026.53,0,,0,0,0,,0,0,163416.42,0,,0,0,0,717.97,0,0,717.97,164134.39,1601
Bob Stewart,Beckenham BC,26100,Standard London area budget,14620.032,11479.968,148500,Standard London area budget,134188.77,14311.23,0,,0,0,0,,0,0,148808.80,0,,0,0,0,102.75,0,0,102.75,148911.55,3919
Boris Johnson,Uxbridge and South Ruislip BC,26100,Standard London area budget,8018.316,18081.684,154535.25,"Standard London area budget, plus an uplift of £6,035.25 for staff absence",144319.64,10215.61,5985.12,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £14.88 covers the spend for 2015-16, and the remaining £5,985.12 was available to spend in 2016-17, until 7th May 2016.",0,5985.12,0,,0,0,152337.96,0,,0,0,0,0,0,0,0,152337.96,1423
Brandon Lewis,Great Yarmouth CC,23450,Standard non-London area budget,21954.006,1495.994,148949.94,"Standard non-London area budget, plus an uplift of £7,549.94 for staff absence",147649.66,1300.28,0,,0,0,0,,0,0,169603.67,25460,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of two dependants",21699.81,3760.19,0,2009.74,0,0,23709.55,193313.22,4009
Brendan O'Hara,Argyll and Bute CC,24118.91,"Standard non-London area budget, plus an uplift of £668.91 agreed following an application to IPSA",24116.91,2,141400,Standard non-London area budget,141315.13,84.87,2599.65,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £3,400.35 covers the spend for 2015-16, and the remaining £2,599.65 was available to spend in 2016-17, until 7th May 2016.",2599.03,0.62,0,,0,0,168031.07,25460,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of two dependants",25460,0,0,41849.37,0,0,67309.37,235340.44,4371
Bridget Phillipson,Houghton and Sunderland South BC,23450,Standard non-London area budget,22236.66,1213.34,141400,Standard non-London area budget,137659.49,3740.51,0,,0,0,0,,0,0,159896.15,13002.51,"Standard London area budget for three months, plus an uplift for two dependants for three months. Associated expenditures for nine months.",8801.91,4200.6,0,9256.32,0,1288.74,19346.97,179243.12,4046
Byron Davies,Gower CC,23450,Standard non-London area budget,21831.33,1618.67,141400,Standard non-London area budget,137889.77,3510.23,40.8,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,959.20 covers the spend for 2015-16, and the remaining £40.80 was available to spend in 2016-17, until 7th May 2016.",0,40.8,0,,0,0,159721.10,20659.41,Standard budget for renting in the London area + £49.91 in hotels,20659.41,0,0,9724.56,0,1134,31517.97,191239.07,4499
Callum McCaig,Aberdeen South BC,23450,Standard non-London area budget,21134.006,2315.994,141400,Standard non-London area budget,131340.66,10059.34,2684,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £3,316 covers the spend for 2015-16, and the remaining £2,684 was available to spend in 2016-17, until 7th May 2016.",44.99,2639.01,0,,0,0,152519.66,20610,Standard budget for renting a property in the London area,20369.62,240.38,0,20979.24,0,0,41348.86,193868.52,4364
Calum Kerr,"Berwickshire, Roxburgh and Selkirk CC",23450,Standard non-London area budget,21692.57,1757.43,150406.68,"Standard non-London area budget, plus an uplift of £9,006.68 for staff absence",141456.49,8950.19,272.45,"The full budget amount of £6,000 covers one year from the date of the MP's election. The £5,727.55 covers the spend for 2015-16, and the remaining £272.45 was available to spend in 2016-17, until 7th May 2016.",0,272.45,0,,0,0,163149.06,27885,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of three dependants",22606.33,5278.67,0,32684.76,0,0,55291.09,218440.15,4379
